Store ID,SKU,Product Name,Price,Date
101,SKU12345,Apple iPhone 14,999.99,2024-06-01
101,SKU12346,Samsung Galaxy S23,899.50,2024-06-02
102,SKU12347,Sony WH-1000XM4,349.00,2024-06-01
103,SKU12348,Dell XPS 13 Laptop,1299.00,2024-06-03
103,SKU12349,HP Pavilion Gaming Laptop,1099.00,2024-06-03
104,SKU12350,Google Pixel 7,799.99,2024-06-04
105,SKU12351,Bose QuietComfort 45,329.00,2024-06-05
106,SKU12352,Lenovo ThinkPad X1 Carbon,1449.99,2024-06-05
107,SKU12353,Microsoft Surface Pro 9,999.00,2024-06-06
108,SKU12354,Canon EOS R5 Camera,3899.00,2024-06-07
